city_name,year,month,price
Changchun,2022,11,9585
Changchun,2022,12,9434
Changchun,2023,1,9355
Changchun,2023,2,9312
Changchun,2023,3,9565
Changchun,2023,4,9311
Changchun,2023,5,9306
Changchun,2023,6,9255
Changchun,2023,7,9239
Changchun,2023,8,8927
Changchun,2023,9,8842
Changchun,2023,10,8657
Changchun,2023,11,8553
Changchun,2023,12,8418
Changchun,2024,1,8434
Changchun,2024,2,8482
Changchun,2024,3,8335
Changchun,2024,4,8372
Changchun,2024,5,8290
Changchun,2024,6,8212
Changchun,2024,7,8247
Changchun,2024,8,8256
Changchun,2024,9,8219
Changchun,2024,10,8245
Changchun,2024,11,8181
Changchun,2024,12,8038
Changsha,2015,1,6360
Changsha,2015,2,6335
Changsha,2015,3,6340
Changsha,2015,4,6326
Changsha,2015,5,6359
Changsha,2015,6,6347
Changsha,2015,7,6357
Changsha,2015,8,6391
Changsha,2015,9,6423
Changsha,2015,10,6420
Changsha,2015,11,6433
Changsha,2015,12,6454
Changsha,2016,1,6454
Changsha,2016,2,6456
Changsha,2016,3,6481
Changsha,2016,4,6530
Changsha,2016,5,6587
Changsha,2016,6,6654
Changsha,2016,7,6693
Changsha,2016,8,6749
Changsha,2016,9,6826
Changsha,2016,10,7065
Changsha,2016,11,7267
Changsha,2016,12,7608
Changsha,2017,1,7822
Changsha,2017,2,7887
Changsha,2017,3,8224
Changsha,2017,4,8722
Changsha,2017,5,9002
Changsha,2017,6,9286
Changsha,2017,7,9249
Changsha,2017,8,9305
Changsha,2017,9,9420
Changsha,2017,10,9546
Changsha,2017,11,9772
Changsha,2017,12,9882
Changsha,2018,1,9982
Changsha,2018,2,10052
Changsha,2018,3,10092
Changsha,2018,4,10235
Changsha,2018,5,10495
Changsha,2018,6,10171
Changsha,2018,7,10204
Changsha,2018,8,10244
Changsha,2018,9,10913
Changsha,2018,10,11123
Changsha,2018,11,10831
Changsha,2018,12,10901
Changsha,2019,1,10652
Changsha,2019,2,10642
Changsha,2019,3,10933
Changsha,2019,4,10832
Changsha,2019,5,10910
Changsha,2019,6,10942
Changsha,2019,7,10783
Changsha,2019,8,10803
Changsha,2019,9,10730
Changsha,2019,10,10760
Changsha,2019,11,10882
Changsha,2019,12,10774
Changsha,2020,1,10623
Changsha,2020,2,11076
Changsha,2020,3,11122
Changsha,2020,4,10782
Changsha,2020,5,10064
Changsha,2020,6,11066
Changsha,2020,7,10855
Changsha,2020,8,10550
Changsha,2020,9,10599
Changsha,2020,10,11310
Changsha,2020,11,11121
Changsha,2020,12,11359
Changsha,2021,1,11225
Changsha,2021,2,11351
Changsha,2021,3,10953
Changsha,2021,4,11570
Changsha,2021,5,11080
Changsha,2021,6,10816
Changsha,2021,7,10845
Changsha,2021,8,10907
Changsha,2021,9,10894
Changsha,2021,10,11515
Changsha,2021,11,10933
